Date/time: 12:20:41.266 PM 14-Aug-2019
seed,247
Parent-Memory,5
SchoolSize,100
Number-of-Schools,10
Departure-Probability,1
Number-of-Ranks,6
Initial-School-GCSE-Distribution,uniform
School-Value-Added,true
School-Value-Added-Distribution,normal
Location-Rules,true
Move-Closest,false
Avoid-Schools,true
Avoided-Threshold,0.75
School-Peer-Effect,0.25
Parent-Effect,0.25
Tick,MeanGCSE,RangeGCSE,MeanAppRatio,RangeAppRatio,asp-moran-i,asp-moran-i-p,pv-moran-i,pv-moran-i-p,GA-m,GA-r,GA-p,GMx-m,GMx-r,GMx-p,GMn-m,GMn-r,GMn-p,AMx-m,AMx-r,AMx-p,AMn-m,AMn-r,AMn-p
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0.006,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0,0.006,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,0,0.012,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,0,0.006,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,13.615913426448722,8.362791352853893,0.006,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,26.366399723033577,17.26051168736622,0.42700000000000005,0.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,39.06483741452637,25.65594281238048,1.9260000000000002,4.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,51.978297829261805,34.721996887781856,3.8409999999999997,6.880000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,64.98155127688304,43.71875616501571,5.253,7.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,65.36731398165162,44.51538126010136,5.876,7.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,65.56336997142978,41.71464710207438,5.868,7.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
