Date/time: 12:32:22.356 PM 14-Aug-2019
seed,727
Parent-Memory,5
SchoolSize,100
Number-of-Schools,10
Departure-Probability,1
Number-of-Ranks,6
Initial-School-GCSE-Distribution,uniform
School-Value-Added,true
School-Value-Added-Distribution,normal
Location-Rules,true
Move-Closest,false
Avoid-Schools,true
Avoided-Threshold,0.75
School-Peer-Effect,0.25
Parent-Effect,0.25
Tick,MeanGCSE,RangeGCSE,MeanAppRatio,RangeAppRatio,asp-moran-i,asp-moran-i-p,pv-moran-i,pv-moran-i-p,GA-m,GA-r,GA-p,GMx-m,GMx-r,GMx-p,GMn-m,GMn-r,GMn-p,AMx-m,AMx-r,AMx-p,AMn-m,AMn-r,AMn-p
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0,0.011999999999999999,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,0,0.018,0.019999999999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,0,0.006,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,0,0.006,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,14.15499154151802,7.802206643004721,0.006,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,27.637344456299598,15.91564815737766,0.413,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,41.26182968827403,24.830280242497917,1.98,4.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,54.99550059425908,34.00027956031576,4.193,7.3100000000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,68.78294167039705,42.15248064418219,5.446,7.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,69.44403188855433,42.83906060321259,5.922,7.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,69.7112451838854,40.98172089343807,5.927,7.470000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,69.66873845871058,35.71454248971183,5.941999999999999,7.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
