Date/time: 12:36:29.021 PM 14-Aug-2019
seed,844
Parent-Memory,5
SchoolSize,100
Number-of-Schools,10
Departure-Probability,1
Number-of-Ranks,6
Initial-School-GCSE-Distribution,uniform
School-Value-Added,true
School-Value-Added-Distribution,normal
Location-Rules,true
Move-Closest,false
Avoid-Schools,true
Avoided-Threshold,0.75
School-Peer-Effect,0.25
Parent-Effect,0.25
Tick,MeanGCSE,RangeGCSE,MeanAppRatio,RangeAppRatio,asp-moran-i,asp-moran-i-p,pv-moran-i,pv-moran-i-p,GA-m,GA-r,GA-p,GMx-m,GMx-r,GMx-p,GMn-m,GMn-r,GMn-p,AMx-m,AMx-r,AMx-p,AMn-m,AMn-r,AMn-p
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0,0.006,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,0,0.011999999999999999,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,0,0.012,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,13.06517675857599,7.057315882584167,0.011999999999999999,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,25.373502783358354,14.392241731437593,0.352,0.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,37.64318285358342,22.076753229205565,1.541,3.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,50.019363761030455,29.769783986865512,3.7670000000000003,6.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,62.4983672763228,37.32163865049724,5.2,7.1499999999999995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,62.89223102283957,38.071612091966074,5.817,5.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,62.97083442802199,35.71441088001716,5.89,5.780000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,63.17792198419178,31.123981193928174,5.895,5.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
