Date/time: 12:12:36.201 PM 14-Aug-2019
seed,494
Parent-Memory,5
SchoolSize,100
Number-of-Schools,10
Departure-Probability,1
Number-of-Ranks,6
Initial-School-GCSE-Distribution,uniform
School-Value-Added,true
School-Value-Added-Distribution,normal
Location-Rules,true
Move-Closest,false
Avoid-Schools,true
Avoided-Threshold,0.75
School-Peer-Effect,0.25
Parent-Effect,0.25
Tick,MeanGCSE,RangeGCSE,MeanAppRatio,RangeAppRatio,asp-moran-i,asp-moran-i-p,pv-moran-i,pv-moran-i-p,GA-m,GA-r,GA-p,GMx-m,GMx-r,GMx-p,GMn-m,GMn-r,GMn-p,AMx-m,AMx-r,AMx-p,AMn-m,AMn-r,AMn-p
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0,0.006,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,0,0.012,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,0,0.006,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,0,0.006,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,13.123741407583768,6.066548531518535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,25.698148640428098,12.928671610624516,0.403,0.7000000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,38.36302883158257,20.11319866457719,1.685,3.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,51.267721106904766,27.52325413346682,3.7700000000000005,6.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,64.29038835922017,35.12744846553321,5.348000000000001,6.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,65.3782657409047,36.60315751697704,5.859,6.6899999999999995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,65.71915057169883,34.83808306151603,5.906000000000001,6.040000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,65.81665773410501,30.964271221963365,5.907,6.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
