Date/time: 12:13:43.623 PM 14-Aug-2019
seed,623
Parent-Memory,5
SchoolSize,100
Number-of-Schools,10
Departure-Probability,1
Number-of-Ranks,6
Initial-School-GCSE-Distribution,uniform
School-Value-Added,true
School-Value-Added-Distribution,normal
Location-Rules,true
Move-Closest,false
Avoid-Schools,true
Avoided-Threshold,0.75
School-Peer-Effect,0.25
Parent-Effect,0.25
Tick,MeanGCSE,RangeGCSE,MeanAppRatio,RangeAppRatio,asp-moran-i,asp-moran-i-p,pv-moran-i,pv-moran-i-p,GA-m,GA-r,GA-p,GMx-m,GMx-r,GMx-p,GMn-m,GMn-r,GMn-p,AMx-m,AMx-r,AMx-p,AMn-m,AMn-r,AMn-p
0,1,0,0.012,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0.006,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0,0.006,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,0,0.006,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,0,0.018,0.019999999999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,12.134023298063362,4.740566792863852,0.012,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,23.50485287750194,9.007333610019774,0.23899999999999996,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,35.05127502005829,13.416629502837466,1.259,2.1599999999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,46.71483662877556,17.370063524065834,2.9979999999999998,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,58.35384841342354,21.539142857137534,4.762,5.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,59.07840804526627,21.238468922220292,5.6690000000000005,4.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,59.52408237422467,20.079552750046844,5.702999999999999,4.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,59.71144083218873,16.995275545804404,5.718,4.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,59.76706860363906,14.538865099554712,5.701,4.5200000000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,59.80509476469755,14.561431238453878,5.703,4.569999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,59.647475018134415,16.873809663302936,5.715,4.8100000000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,59.67712830793221,19.145307045771666,5.7379999999999995,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,59.83585805566088,24.259460189427735,5.763,5.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,60.021390742939374,30.09074607220827,5.693,5.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,60.2400510760893,33.11699083420951,5.647999999999999,5.149999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,60.38039242357722,34.55571525693626,5.778999999999999,5.739999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,60.31045078760153,35.93185992105296,5.7940000000000005,5.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,60.21774139902361,36.7557466168551,5.745,6.300000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,60.278430289267966,38.685147866297044,5.763999999999999,6.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,60.358010217859075,40.96432282619412,5.789,5.690000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,60.411308541944685,41.92694071984518,5.799,6.340000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,60.49206037637843,41.94888289477505,5.713,5.690000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,60.649995295429335,41.22591031915141,5.7379999999999995,6.069999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,60.555117195378806,40.08529545905869,5.71,5.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,60.30368261447353,39.518827017505515,5.709000000000001,5.890000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,60.2598216178724,39.36597633367758,5.726000000000001,6.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,60.24147728570009,40.6242425653591,5.7509999999999994,5.860000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,60.193743128542316,41.9246529990646,5.7829999999999995,5.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
