Date/time: 12:16:25.858 PM 14-Aug-2019
seed,753
Parent-Memory,5
SchoolSize,100
Number-of-Schools,10
Departure-Probability,1
Number-of-Ranks,6
Initial-School-GCSE-Distribution,uniform
School-Value-Added,true
School-Value-Added-Distribution,normal
Location-Rules,true
Move-Closest,false
Avoid-Schools,true
Avoided-Threshold,0.75
School-Peer-Effect,0.25
Parent-Effect,0.25
Tick,MeanGCSE,RangeGCSE,MeanAppRatio,RangeAppRatio,asp-moran-i,asp-moran-i-p,pv-moran-i,pv-moran-i-p,GA-m,GA-r,GA-p,GMx-m,GMx-r,GMx-p,GMn-m,GMn-r,GMn-p,AMx-m,AMx-r,AMx-p,AMn-m,AMn-r,AMn-p
0,1,0,0.012,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0.006,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0,0.006,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,0,0.012,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,0,0.012,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,0,0.018,0.019999999999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,12.98130317641799,6.827687493661502,0.006,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,25.231410158788833,13.413607003975766,0.309,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,37.696909824821326,20.996627404921583,1.5859999999999999,3.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,50.23530852609301,28.362604607987606,3.5309999999999997,5.8100000000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,62.80607736540553,35.96339725087748,5.093000000000002,6.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,63.539914152497474,35.822205832298536,5.796000000000001,6.640000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,63.88365397622035,34.07905332644156,5.818,6.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,63.92503908718305,28.390858155018257,5.802,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,63.93461500624569,25.213812218240392,5.828999999999999,6.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,63.9971677384418,24.390653509660474,5.754,6.779999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,63.97313917027291,26.325180848019635,5.7989999999999995,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,64.17290172212704,31.233038036168296,5.790999999999999,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,64.2528651021175,39.07145238886688,5.793000000000001,7.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,64.33416326196303,45.197984891875336,5.7860000000000005,7.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,64.39020974907555,47.66231297444757,5.821000000000001,6.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,64.3238949932078,48.555823685560725,5.787,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,64.0913907227657,49.0816607401821,5.814,7.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,64.23734564639724,49.501381029724506,5.798,6.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,64.2896886284875,50.005891219594425,5.79,6.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,64.31478607022743,50.52337490659792,5.8469999999999995,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,64.26913367484026,51.248435433962634,5.8180000000000005,6.609999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,64.26678144907706,50.58233903836927,5.8549999999999995,6.890000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,64.00827306371636,50.425114686649735,5.8309999999999995,6.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,63.83400420121042,49.44242891809319,5.836,6.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,63.69098728509903,49.68247742595298,5.821,6.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,63.71945432831988,50.101520233301656,5.821,6.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,63.80870788458204,50.933741132103705,5.797000000000001,6.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,63.90749119149173,51.66209552182632,5.822000000000001,7.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
