Date/time: 12:18:12.974 PM 14-Aug-2019
seed,156
Parent-Memory,5
SchoolSize,100
Number-of-Schools,10
Departure-Probability,1
Number-of-Ranks,6
Initial-School-GCSE-Distribution,uniform
School-Value-Added,true
School-Value-Added-Distribution,normal
Location-Rules,true
Move-Closest,false
Avoid-Schools,true
Avoided-Threshold,0.75
School-Peer-Effect,0.25
Parent-Effect,0.25
Tick,MeanGCSE,RangeGCSE,MeanAppRatio,RangeAppRatio,asp-moran-i,asp-moran-i-p,pv-moran-i,pv-moran-i-p,GA-m,GA-r,GA-p,GMx-m,GMx-r,GMx-p,GMn-m,GMn-r,GMn-p,AMx-m,AMx-r,AMx-p,AMn-m,AMn-r,AMn-p
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0.012,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0,0.006,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,0,0.03,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,0,0.006,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,14.260164665656507,8.179149702700792,0.030000000000000006,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,27.736792561602122,16.64067921695786,0.495,0.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,41.34194618229681,25.705946050392487,1.9339999999999997,4.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,55.00983722755726,34.11431104229337,4.243,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,68.83618660078012,42.68067977084675,5.693999999999999,6.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,69.31387297425847,42.75821053049413,5.978,4.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,69.62906367749761,40.880230302567995,5.981,4.8100000000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,69.93058024335399,37.56362028431028,5.9799999999999995,4.770000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,70.09400524876648,37.99229265026758,5.977,5.140000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,69.90236569205476,36.95987324787518,5.973,5.539999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,70.00740011436773,37.15810504922729,5.972,5.079999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,70.04147450075327,38.71610475386282,5.978,4.859999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,69.94013816619858,41.78817556002522,5.979,5.139999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,70.00370407141148,45.472488891733796,5.981,4.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,70.22503705122037,46.999872989192426,5.994,5.290000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,70.26566951251894,47.26822109587724,5.991999999999999,5.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,70.2605028186854,48.464493511032444,5.994000000000001,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,70.44503528524731,48.70090491256678,5.99,5.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,70.5187880971345,48.325944855891535,5.996,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,70.69839775078101,48.560105483934706,5.9959999999999996,5.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,70.74631361243603,48.75255483644385,5.999,5.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
