Date/time: 12:37:40.871 PM 14-Aug-2019
seed,883
Parent-Memory,5
SchoolSize,100
Number-of-Schools,10
Departure-Probability,1
Number-of-Ranks,6
Initial-School-GCSE-Distribution,uniform
School-Value-Added,true
School-Value-Added-Distribution,normal
Location-Rules,true
Move-Closest,false
Avoid-Schools,true
Avoided-Threshold,0.75
School-Peer-Effect,0.25
Parent-Effect,0.25
Tick,MeanGCSE,RangeGCSE,MeanAppRatio,RangeAppRatio,asp-moran-i,asp-moran-i-p,pv-moran-i,pv-moran-i-p,GA-m,GA-r,GA-p,GMx-m,GMx-r,GMx-p,GMn-m,GMn-r,GMn-p,AMx-m,AMx-r,AMx-p,AMn-m,AMn-r,AMn-p
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,0,0.006,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,14.700230313640748,6.586889719812703,0.006,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,28.674851984307587,12.88220908817702,0.466,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,42.72346515897918,19.807232951871114,2.1210000000000004,3.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,56.98623349021743,26.758464830752615,4.598,6.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,71.33905770982147,34.233475610044074,5.765,6.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,71.9719454587933,34.52123804560146,6,6.220000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,72.38366612172464,33.458382985386976,5.999999999999999,6.290000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,72.5734472704864,28.104323295432728,6.000000000000001,5.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
