Date/time: 12:03:14.026 PM 14-Aug-2019
seed,818
Parent-Memory,5
SchoolSize,100
Number-of-Schools,10
Departure-Probability,1
Number-of-Ranks,6
Initial-School-GCSE-Distribution,uniform
School-Value-Added,true
School-Value-Added-Distribution,normal
Location-Rules,true
Move-Closest,false
Avoid-Schools,true
Avoided-Threshold,0.75
School-Peer-Effect,0.25
Parent-Effect,0.25
Tick,School_id,school-type,school-x-cor,school-y-cor,all-pupils,Value-Added,GCSE-score,App-ratio,max-distance_y7,max-distance_y11,max-distance_unallocated,mean-distance_y7,mean-distance_y11,mean-distance_unallocated,mean-aspiration_y7,mean-aspiration_y11,mean-aspiration_unallocated,mean-attainment_y7,mean-attainment_y11,parents_rank1_y7,parents_rank2_y7,parents_rank3_y7,parents_rank4_y7,parents_rank5_y7,parents_rank6_y7,parents_unranked_y7,success-aspiration_y7,success-attainment_y11,parents_avoiding_y7,parents_moved_y7,mean-attainment_change_y11,count-attainment_change+_y11,count-attainment_change-_y11,parents_strategy1_y7,parents_strategy2_y7,parents_strategy3_y7,parents_strategy4_y7,parents_strategy5_y7,parents_strategy6_y7,parents_strategy7_y7,parents_strategy8_y7
0,2,state,16,9,0,0.09,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,100,0,0,999,0,-1,0,0,0,0,0,0,0,0,0,0
0,7,state,11,33,0,0.01,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,100,0,0,999,0,-1,0,0,0,0,0,0,0,0,0,0
0,8,state,4,-11,0,0.19,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,100,0,0,999,0,-1,0,0,0,0,0,0,0,0,0,0
0,1,state,34,-6,0,0.16,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,100,0,0,999,0,-1,0,0,0,0,0,0,0,0,0,0
0,6,state,-21,-50,0,0.09,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,100,0,0,999,0,-1,0,0,0,0,0,0,0,0,0,0
0,3,state,22,11,0,0.05,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,100,0,0,999,0,-1,0,0,0,0,0,0,0,0,0,0
0,0,state,-26,-22,0,0.06,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,100,0,0,999,0,-1,0,0,0,0,0,0,0,0,0,0
0,9,state,-26,-32,0,0.07,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,100,0,0,999,0,-1,0,0,0,0,0,0,0,0,0,0
0,5,state,27,-33,0,0.28,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,100,0,0,999,0,-1,0,0,0,0,0,0,0,0,0,0
0,4,state,-1,-36,0,0.25,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,100,0,0,999,0,-1,0,0,0,0,0,0,0,0,0,0
1,5,state,27,-33,100,0.28,1,0.02,15.52,-1,63.16,9.81,-1,57.6,50.41,-1,0.99,44.88,-1,0,0,0,0,0,0,100,100,0,1000,0,-1,0,0,0,0,0,0,0,100,0,0
1,4,state,-1,-36,100,0.25,1,0.01,22.85,-1,24.02,11.57,-1,24.02,50.49,-1,1.16,44.09,-1,0,0,0,0,0,0,100,100,0,1000,0,-1,0,0,0,0,0,0,0,100,0,0
1,8,state,4,-11,100,0.19,1,0.02,14.87,-1,58.6,9.7,-1,33.91,48.1,-1,1.01,40.62,-1,0,0,0,0,0,0,100,100,0,1000,0,-1,0,0,0,0,0,0,0,100,0,0
1,1,state,34,-6,100,0.16,1,0.02,17.03,-1,65.74,10.37,-1,51.38,48.19,-1,1.18,40.05,-1,0,0,0,0,0,0,100,100,0,1000,0,-1,0,0,0,0,0,0,0,100,0,0
1,6,state,-21,-50,100,0.09,1,0.03,43.05,-1,48.47,15.47,-1,25.6,48.76,-1,1.06,38.85,-1,0,0,0,0,0,0,100,100,0,1000,0,-1,0,0,0,0,0,0,0,100,0,0
1,2,state,16,9,100,0.09,1,0.01,63.06,-1,23.6,20.38,-1,23.6,49.45,-1,1.21,39.37,-1,0,0,0,0,0,0,100,100,0,1000,0,-1,0,0,0,0,0,0,0,100,0,0
1,3,state,22,11,100,0.05,1,0.02,79.31,-1,87.01,27.62,-1,87.01,54.14,-1,0.81,42,-1,1,0,0,0,0,0,99,100,0,1000,0,-1,0,0,0,0,0,0,0,100,0,0
1,9,state,-26,-32,100,0.07,1,0.02,57.14,-1,26.48,17.36,-1,14.82,52.41,-1,0.99,41.16,-1,0,0,0,0,0,0,100,100,0,1000,0,-1,0,0,0,0,0,0,0,100,0,0
1,7,state,11,33,100,0.01,1,0.02,28.02,-1,40.5,12.78,-1,40.5,51.12,-1,1.21,38.53,-1,1,0,0,0,0,0,99,100,0,1000,0,-1,0,0,0,0,0,0,0,100,0,0
1,0,state,-26,-22,100,0.06,1,0.01,68.51,-1,-1,18.13,-1,-1,53.78,-1,-1,41.93,-1,1,0,0,0,0,0,99,100,0,1000,0,-1,0,0,0,0,0,0,0,100,0,0
2,2,state,16,9,200,0.09,1,0,81.34,-1,-1,27.95,-1,-1,51.26,-1,-1,50.65,-1,0,0,0,0,0,0,100,100,0,997,0,-1,0,0,0,0,0,0,0,100,0,0
2,5,state,27,-33,200,0.28,1,0,14.56,-1,-1,10.31,-1,-1,51.15,-1,-1,56.75,-1,0,0,0,0,0,0,100,100,0,997,0,-1,0,0,0,0,0,0,0,100,0,0
2,4,state,-1,-36,200,0.25,1,0,25.94,-1,-1,12.01,-1,-1,50.03,-1,-1,54.71,-1,0,0,0,0,0,0,100,100,0,997,0,-1,0,0,0,0,0,0,0,100,0,0
2,1,state,34,-6,200,0.16,1,0,21.26,-1,-1,12.28,-1,-1,53.1,-1,-1,54.15,-1,0,0,0,0,0,0,100,100,0,997,0,-1,0,0,0,0,0,0,0,100,0,0
2,6,state,-21,-50,200,0.09,1,0,20.22,-1,-1,10.17,-1,-1,49.24,-1,-1,48.94,-1,0,0,0,0,0,0,100,100,0,997,0,-1,0,0,0,0,0,0,0,100,0,0
2,8,state,4,-11,200,0.19,1,0,16.49,-1,-1,10.24,-1,-1,48.11,-1,-1,50.78,-1,0,0,0,0,0,0,100,100,0,997,0,-1,0,0,0,0,0,0,0,100,0,0
2,7,state,11,33,200,0.01,1,0,100.22,-1,-1,11.98,-1,-1,51.95,-1,-1,48.78,-1,0,0,0,0,0,0,100,99,0,997,0,-1,0,0,0,0,0,0,0,99,1,0
2,3,state,22,11,200,0.05,1,0,79.23,-1,-1,36.81,-1,-1,45.96,-1,-1,46.15,-1,0,0,0,0,0,0,100,100,0,997,1,-1,0,0,0,0,0,0,1,99,0,0
2,0,state,-26,-22,200,0.06,1,0,34.06,-1,-1,14.86,-1,-1,47.29,-1,-1,47.36,-1,0,0,0,0,0,0,100,100,0,997,1,-1,0,0,0,0,0,0,1,99,0,0
2,9,state,-26,-32,200,0.07,1,0,29.15,-1,-1,14.83,-1,-1,49.74,-1,-1,49.35,-1,0,0,0,0,0,0,100,100,0,997,0,-1,0,0,0,0,0,0,0,100,0,0
3,1,state,34,-6,300,0.16,1,0,17.72,-1,-1,10.39,-1,-1,50.97,-1,-1,54.8,-1,0,0,0,0,0,0,100,100,0,1000,0,-1,0,0,0,10,0,0,0,90,0,0
3,3,state,22,11,300,0.05,1,0,79.51,-1,-1,34.37,-1,-1,50.86,-1,-1,50.99,-1,0,0,0,0,0,0,100,100,0,1000,0,-1,0,0,0,58,0,0,0,42,0,0
3,5,state,27,-33,300,0.28,1,0,21.21,-1,-1,11.68,-1,-1,51.61,-1,-1,59.61,-1,0,0,0,0,0,0,100,100,0,1000,0,-1,0,0,0,59,0,0,0,41,0,0
3,0,state,-26,-22,300,0.06,1,0,34.37,-1,-1,13.23,-1,-1,49.31,-1,-1,50.14,-1,0,0,0,0,0,0,100,100,0,1000,0,-1,0,0,0,26,0,0,0,74,0,0
3,9,state,-26,-32,300,0.07,1,0,40.22,-1,-1,14.26,-1,-1,48.57,-1,-1,49.99,-1,0,0,0,0,0,0,100,100,0,1000,0,-1,0,0,0,38,0,0,0,62,0,0
3,6,state,-21,-50,300,0.09,1,0,27.89,-1,-1,12.2,-1,-1,50.87,-1,-1,52.04,-1,0,0,0,0,0,0,100,100,0,1000,0,-1,0,0,0,40,0,0,0,60,0,0
3,7,state,11,33,300,0.01,1,0,21.95,-1,-1,11.93,-1,-1,52.14,-1,-1,50.62,-1,0,0,0,0,0,0,100,100,0,1000,0,-1,0,0,0,39,0,0,0,61,0,0
3,4,state,-1,-36,300,0.25,1,0,14.87,-1,-1,9.75,-1,-1,52.97,-1,-1,59.48,-1,0,0,0,0,0,0,100,100,0,1000,0,-1,0,0,0,29,0,0,0,71,0,0
3,8,state,4,-11,300,0.19,1,0,15.81,-1,-1,10.08,-1,-1,48.78,-1,-1,53.34,-1,0,0,0,0,0,0,100,100,0,1000,0,-1,0,0,0,25,0,0,0,75,0,0
3,2,state,16,9,300,0.09,1,0,70.86,-1,-1,32.45,-1,-1,46.23,-1,-1,48.6,-1,0,0,0,0,0,0,100,100,0,1000,0,-1,0,0,0,43,0,0,0,57,0,0
4,3,state,22,11,400,0.05,1,0.01,78.1,-1,-1,37.47,-1,-1,49.95,-1,-1,51.05,-1,1,0,0,0,0,0,99,100,0,1000,0,-1,0,0,0,56,0,0,0,44,0,0
4,6,state,-21,-50,400,0.09,1,0,35.44,-1,-1,13.55,-1,-1,49.45,-1,-1,51.89,-1,0,0,0,0,0,0,100,100,0,1000,0,-1,0,0,0,42,0,0,0,58,0,0
4,7,state,11,33,400,0.01,1,0.01,30.02,-1,37.22,14.77,-1,37.22,50.14,-1,1.3,49.84,-1,0,0,0,0,0,0,100,100,0,1000,0,-1,0,0,0,53,0,0,0,47,0,0
4,8,state,4,-11,400,0.19,1,0.01,19.24,-1,28.64,11.69,-1,28.64,51.69,-1,1.3,56.93,-1,0,0,0,0,0,0,100,100,0,1000,0,-1,0,0,0,41,0,0,0,59,0,0
4,4,state,-1,-36,400,0.25,1,0,18.87,-1,-1,10.57,-1,-1,49.97,-1,-1,58.38,-1,0,0,0,0,0,0,100,100,0,1000,0,-1,0,0,0,42,0,0,0,58,0,0
4,0,state,-26,-22,400,0.06,1,0,52.2,-1,-1,16.07,-1,-1,49.78,-1,-1,51.17,-1,0,0,0,0,0,0,100,100,0,1000,0,-1,0,0,0,36,0,0,0,64,0,0
4,9,state,-26,-32,400,0.07,1,0,53.6,-1,-1,17.27,-1,-1,50.05,-1,-1,51.79,-1,0,0,0,0,0,0,100,100,0,1000,0,-1,0,0,0,48,0,0,0,52,0,0
4,2,state,16,9,400,0.09,1,0.01,64.12,-1,16.12,19.64,-1,16.12,50.82,-1,1.3,52.86,-1,0,0,0,0,0,0,100,100,0,1000,0,-1,0,0,0,16,0,0,0,84,0,0
4,1,state,34,-6,400,0.16,1,0.01,19.85,-1,8.06,11.8,-1,8.06,52.04,-1,1.3,56.82,-1,0,0,0,0,0,0,100,100,0,1000,0,-1,0,0,0,18,0,0,0,82,0,0
4,5,state,27,-33,400,0.28,1,0.01,15.23,-1,34.13,10.36,-1,34.13,50.23,-1,1.3,59.87,-1,0,0,0,0,0,0,100,100,0,1000,0,-1,0,0,0,63,0,0,0,37,0,0
