Date/time: 12:03:14.030 PM 14-Aug-2019
seed,818
Parent-Memory,5
SchoolSize,100
Number-of-Schools,10
Departure-Probability,1
Number-of-Ranks,6
Initial-School-GCSE-Distribution,uniform
School-Value-Added,true
School-Value-Added-Distribution,normal
Location-Rules,true
Move-Closest,false
Avoid-Schools,true
Avoided-Threshold,0.75
School-Peer-Effect,0.25
Parent-Effect,0.25
Tick,MeanGCSE,RangeGCSE,MeanAppRatio,RangeAppRatio,asp-moran-i,asp-moran-i-p,pv-moran-i,pv-moran-i-p,GA-m,GA-r,GA-p,GMx-m,GMx-r,GMx-p,GMn-m,GMn-r,GMn-p,AMx-m,AMx-r,AMx-p,AMn-m,AMn-r,AMn-p
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0.018,0.019999999999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,0,0.006,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,0,0.024,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,12.69966920127347,5.171360606954245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,24.68925465665785,10.626056741218186,0.28,0.5900000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,36.85462627750994,16.341478225563705,1.509,3.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,49.142598361810954,22.375172683361477,3.181,6.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,61.380611473433156,27.468346316210955,5.045,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,62.11608019225563,27.945045745910626,5.748,7.7299999999999995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,62.45266693726673,27.157338481728758,5.785,8.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
