Date/time: 12:10:07.318 PM 14-Aug-2019
seed,403
Parent-Memory,5
SchoolSize,100
Number-of-Schools,10
Departure-Probability,1
Number-of-Ranks,6
Initial-School-GCSE-Distribution,uniform
School-Value-Added,true
School-Value-Added-Distribution,normal
Location-Rules,true
Move-Closest,false
Avoid-Schools,true
Avoided-Threshold,0.75
School-Peer-Effect,0.25
Parent-Effect,0.25
Tick,School_id,school-type,school-x-cor,school-y-cor,all-pupils,Value-Added,GCSE-score,App-ratio,max-distance_y7,max-distance_y11,max-distance_unallocated,mean-distance_y7,mean-distance_y11,mean-distance_unallocated,mean-aspiration_y7,mean-aspiration_y11,mean-aspiration_unallocated,mean-attainment_y7,mean-attainment_y11,parents_rank1_y7,parents_rank2_y7,parents_rank3_y7,parents_rank4_y7,parents_rank5_y7,parents_rank6_y7,parents_unranked_y7,success-aspiration_y7,success-attainment_y11,parents_avoiding_y7,parents_moved_y7,mean-attainment_change_y11,count-attainment_change+_y11,count-attainment_change-_y11,parents_strategy1_y7,parents_strategy2_y7,parents_strategy3_y7,parents_strategy4_y7,parents_strategy5_y7,parents_strategy6_y7,parents_strategy7_y7,parents_strategy8_y7
0,6,state,-21,-50,0,0.36,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,100,0,0,1000,0,-1,0,0,0,0,0,0,0,0,0,0
0,3,state,22,11,0,0.08,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,100,0,0,1000,0,-1,0,0,0,0,0,0,0,0,0,0
0,5,state,27,-33,0,0.41,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,100,0,0,1000,0,-1,0,0,0,0,0,0,0,0,0,0
0,7,state,11,33,0,0.03,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,100,0,0,1000,0,-1,0,0,0,0,0,0,0,0,0,0
0,4,state,-1,-36,0,0.05,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,100,0,0,1000,0,-1,0,0,0,0,0,0,0,0,0,0
0,2,state,16,9,0,0.14,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,100,0,0,1000,0,-1,0,0,0,0,0,0,0,0,0,0
0,8,state,4,-11,0,0.08,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,100,0,0,1000,0,-1,0,0,0,0,0,0,0,0,0,0
0,9,state,-26,-32,0,0.19,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,100,0,0,1000,0,-1,0,0,0,0,0,0,0,0,0,0
0,1,state,34,-6,0,0.23,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,100,0,0,1000,0,-1,0,0,0,0,0,0,0,0,0,0
0,0,state,-26,-22,0,0.02,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,100,0,0,1000,0,-1,0,0,0,0,0,0,0,0,0,0
1,0,state,-26,-22,100,0.02,1,0.01,60.21,-1,64.5,17.3,-1,64.5,52.04,-1,0.31,39.47,-1,0,0,0,0,0,0,100,100,0,1000,0,-1,0,0,0,0,0,0,0,100,0,0
1,5,state,27,-33,100,0.41,1,0,15.23,-1,-1,9.98,-1,-1,51.29,-1,-1,48.95,-1,0,0,0,0,0,0,100,100,0,1000,0,-1,0,0,0,0,0,0,0,100,0,0
1,9,state,-26,-32,100,0.19,1,0.01,60.46,-1,66.48,22,-1,66.48,50.29,-1,0.31,42.58,-1,0,0,0,0,0,0,100,100,0,1000,0,-1,0,0,0,0,0,0,0,100,0,0
1,8,state,4,-11,100,0.08,1,0,16.97,-1,-1,10.53,-1,-1,49.37,-1,-1,38.9,-1,0,0,0,0,0,0,100,100,0,1000,0,-1,0,0,0,0,0,0,0,100,0,0
1,1,state,34,-6,100,0.23,1,0,16.16,-1,-1,10.6,-1,-1,49.71,-1,-1,43.11,-1,0,0,0,0,0,0,100,100,0,1000,0,-1,0,0,0,0,0,0,0,100,0,0
1,7,state,11,33,100,0.03,1,0,28.46,-1,-1,13.75,-1,-1,50.61,-1,-1,38.83,-1,0,0,0,0,0,0,100,100,0,1000,0,-1,0,0,0,0,0,0,0,100,0,0
1,3,state,22,11,100,0.08,1,0.01,78.06,-1,-1,33.86,-1,-1,52.65,-1,-1,41.51,-1,1,0,0,0,0,0,99,100,0,1000,0,-1,0,0,0,0,0,0,0,100,0,0
1,2,state,16,9,100,0.14,1,0.01,71.34,-1,31.83,26.24,-1,31.83,49.3,-1,0.31,40.45,-1,0,0,0,0,0,0,100,100,0,1000,0,-1,0,0,0,0,0,0,0,100,0,0
1,4,state,-1,-36,100,0.05,1,0.01,19.21,-1,44.78,10.7,-1,44.78,48.85,-1,0.31,37.88,-1,0,0,0,0,0,0,100,100,0,1000,0,-1,0,0,0,0,0,0,0,100,0,0
1,6,state,-21,-50,100,0.36,1,0.01,33.24,-1,69.12,14.67,-1,69.12,48.18,-1,0.31,44.73,-1,0,0,0,0,0,0,100,100,0,1000,0,-1,0,0,0,0,0,0,0,100,0,0
2,4,state,-1,-36,200,0.05,1,0,27.78,-1,-1,12.43,-1,-1,49.45,-1,-1,47.82,-1,0,0,0,0,0,0,100,100,0,999,0,-1,0,0,0,0,0,0,0,100,0,0
2,5,state,27,-33,200,0.41,1,0,18.68,-1,-1,11.26,-1,-1,45.67,-1,-1,55.74,-1,0,0,0,0,0,0,100,100,0,999,0,-1,0,0,0,0,0,0,0,100,0,0
2,8,state,4,-11,200,0.08,1,0,17.89,-1,-1,10.45,-1,-1,50.56,-1,-1,49.56,-1,0,0,0,0,0,0,100,100,0,999,0,-1,0,0,0,0,0,0,0,100,0,0
2,7,state,11,33,200,0.03,1,0,26.48,-1,-1,13.19,-1,-1,51.74,-1,-1,49.41,-1,0,0,0,0,0,0,100,100,0,999,0,-1,0,0,0,0,0,0,0,100,0,0
2,6,state,-21,-50,200,0.36,1,0,18.79,-1,-1,10.44,-1,-1,54.04,-1,-1,61.3,-1,0,0,0,0,0,0,100,100,0,999,0,-1,0,0,0,0,0,0,0,100,0,0
2,2,state,16,9,200,0.14,1,0,74.97,-1,-1,33.21,-1,-1,51.63,-1,-1,52.48,-1,0,0,0,0,0,0,100,100,0,999,0,-1,0,0,0,0,0,0,0,100,0,0
2,9,state,-26,-32,200,0.19,1,0,52.8,-1,-1,16.29,-1,-1,50.59,-1,-1,53.48,-1,0,0,0,0,0,0,100,100,0,999,0,-1,0,0,0,0,0,0,0,100,0,0
