Date/time: 12:10:07.321 PM 14-Aug-2019
seed,403
Parent-Memory,5
SchoolSize,100
Number-of-Schools,10
Departure-Probability,1
Number-of-Ranks,6
Initial-School-GCSE-Distribution,uniform
School-Value-Added,true
School-Value-Added-Distribution,normal
Location-Rules,true
Move-Closest,false
Avoid-Schools,true
Avoided-Threshold,0.75
School-Peer-Effect,0.25
Parent-Effect,0.25
Tick,MeanGCSE,RangeGCSE,MeanAppRatio,RangeAppRatio,asp-moran-i,asp-moran-i-p,pv-moran-i,pv-moran-i-p,GA-m,GA-r,GA-p,GMx-m,GMx-r,GMx-p,GMn-m,GMn-r,GMn-p,AMx-m,AMx-r,AMx-p,AMn-m,AMn-r,AMn-p
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0.006,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,0,0.030000000000000006,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,0,0.006,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,0,0.012,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,13.572495167933997,7.200900496999926,0.006,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,26.434116613126132,15.05499542322029,0.37,0.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,39.32354934465039,23.5348166342455,1.9309999999999998,4.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,52.38709798230432,31.418180393342077,3.947,7.7299999999999995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,65.46316286786337,39.963900814914986,5.3229999999999995,7.089999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,66.03612775112451,41.02295123264092,5.856999999999999,6.7299999999999995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
