Date/time: 01:44:40.414 PM 13-Aug-2019
seed,818
Parent-Memory,5
SchoolSize,100
Number-of-Schools,10
Departure-Probability,1
Number-of-Ranks,6
Initial-School-GCSE-Distribution,uniform
School-Value-Added,true
School-Value-Added-Distribution,normal
Location-Rules,true
Move-Closest,false
Avoid-Schools,true
Avoided-Threshold,0.65
School-Peer-Effect,0.25
Parent-Effect,0.25
Tick,MeanGCSE,RangeGCSE,MeanAppRatio,RangeAppRatio,asp-moran-i,asp-moran-i-p,pv-moran-i,pv-moran-i-p,GA-m,GA-r,GA-p,GMx-m,GMx-r,GMx-p,GMn-m,GMn-r,GMn-p,AMx-m,AMx-r,AMx-p,AMn-m,AMn-r,AMn-p
44,69.47328521325264,36.68326751738508,5.996,7.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,69.45713280292497,36.557798731136906,5.994999999999999,7.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,69.38515997438168,36.8183370997326,5.996,7.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,69.33219829663082,36.20626412432769,5.997000000000001,7.629999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,69.27098194706699,36.53564545521721,5.996,7.6800000000000015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,69.2075306576266,36.07955419989576,5.9959999999999996,7.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,69.20427826036902,35.982187292052465,5.996,7.469999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,69.25050205490628,35.658539533745994,5.998,8.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,69.22289911881398,35.92305161792177,5.993,7.630000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,69.31672879006115,35.95291115902799,5.99,7.630000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,69.37852052770282,35.758085387452454,5.995,7.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,69.41166738488536,36.07616462595419,5.991999999999999,7.479999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,69.54152875646352,35.84939999489233,5.995,7.409999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,69.6553037195714,35.92437595886829,5.9959999999999996,7.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,69.55808286343643,35.64339734749616,5.997999999999999,8.030000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,69.57459816567086,35.51618906487684,5.994000000000001,7.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,69.75042113153327,35.34273596708203,5.994000000000001,7.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,69.66341812214418,35.65410268812076,5.998000000000001,7.800000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,69.69860694197732,35.15166467358476,6,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,69.76574956834624,35.04212694765634,5.994999999999999,7.459999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,69.72932708323806,34.545022260528576,5.993,7.540000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,69.65312901521798,34.484739269111984,5.995,7.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,69.63320864339823,34.06883777236273,5.994,7.459999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,69.52441401783923,34.572844627156236,5.994999999999999,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,69.49370205931453,34.52085221642009,5.994,7.729999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,69.56339865118005,35.01909255849295,5.994000000000001,7.470000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,69.42937041029323,35.10675020841992,5.992999999999999,7.369999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,69.39051634323668,35.304596899944166,5.984,7.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,69.43579901087728,35.03038463663364,5.992000000000001,7.539999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,69.3542891936439,35.56344168053045,5.985,7.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,69.23895937907575,35.1945147347124,5.994000000000001,7.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,69.24750000330903,34.844184316861565,5.992000000000001,7.609999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,69.38806384059373,34.576411419455475,5.988,7.870000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,69.43492422168262,34.37632027569818,5.994000000000001,7.280000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,69.54529701421932,33.58863158939235,5.989999999999999,7.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,69.62776670954513,33.93722440622636,5.993,7.569999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,69.72038957531163,34.693320962943915,5.997999999999999,7.449999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,69.69986037353753,35.356863826580515,5.999,7.630000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,69.65619509976628,35.71865813357917,5.9990000000000006,7.590000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,69.56806738957627,36.01218425964019,5.999,7.859999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,69.48765993911823,36.29222756688729,5.995,7.470000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,69.57484561869866,35.87421003106607,5.995,7.800000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,69.49219515772701,36.01992959148779,5.997000000000001,7.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,69.51756579214691,36.08317093030884,5.996,7.629999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,69.57313444395207,36.83169916821405,5.996999999999999,7.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,69.60573964780613,36.99967782606036,5.992,7.300000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,69.42686185164092,37.50869132886227,5.994,7.619999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,69.35556557474614,37.706707894045536,5.989999999999999,7.420000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,69.27086008247291,38.57635936391063,5.992000000000001,7.6800000000000015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,69.24938388264658,38.50948365272509,5.994,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,69.22364558370235,38.13361505909121,5.99,7.710000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,69.15393380913571,38.11320523483844,5.985999999999999,7.6899999999999995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,69.26734343908393,37.540261976263615,5.9910000000000005,6.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,69.22090812537992,36.48754305555933,5.998,8.020000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,69.3096699980592,35.136856558150505,5.99,7.640000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,69.33835302454679,35.097779298851805,5.989999999999999,7.380000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
