Date/time: 12:05:14.393 PM 14-Aug-2019
seed,0
Parent-Memory,5
SchoolSize,100
Number-of-Schools,10
Departure-Probability,1
Number-of-Ranks,6
Initial-School-GCSE-Distribution,uniform
School-Value-Added,true
School-Value-Added-Distribution,normal
Location-Rules,true
Move-Closest,false
Avoid-Schools,true
Avoided-Threshold,0.75
School-Peer-Effect,0.25
Parent-Effect,0.25
Tick,MeanGCSE,RangeGCSE,MeanAppRatio,RangeAppRatio,asp-moran-i,asp-moran-i-p,pv-moran-i,pv-moran-i-p,GA-m,GA-r,GA-p,GMx-m,GMx-r,GMx-p,GMn-m,GMn-r,GMn-p,AMx-m,AMx-r,AMx-p,AMn-m,AMn-r,AMn-p
0,1,0,0.006,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,0,0.018000000000000002,0.019999999999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,0,0.006,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,0,0.006,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,12.96642943482093,6.918522690760275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,25.249267955959162,14.944311889063659,0.30100000000000005,0.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,37.49922392909345,22.53442444850612,1.595,3.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,49.84779930625372,29.803922451231387,3.496,6.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,62.423498357833466,37.26684004850114,5.202999999999999,5.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,62.96848712549705,37.03481769026327,5.827,5.159999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,63.20513556298052,34.81196294795596,5.872999999999999,4.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,63.37858584189944,31.294118202701114,5.896000000000001,4.210000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,63.52724892449574,29.756912920845622,5.867,4.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,63.26570440392386,29.023001720094904,5.852,5.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,63.332257684163,31.028651513722195,5.82,5.869999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,63.259828542324406,34.29559727153132,5.818,5.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,63.259011014036126,39.57556130169744,5.804,5.770000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,63.366145446073894,43.40291445527171,5.819,5.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,63.604516705783226,45.91578677676452,5.811000000000001,5.750000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,63.68127932274515,46.99972068029755,5.852,6.159999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,63.88825623454608,47.34135217394052,5.869,5.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,64.22182771827626,47.56358808993119,5.916,5.930000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,64.30307947184895,47.84940178676867,5.925,4.889999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,64.51495344506819,48.41109193754766,5.898,5.130000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,64.59305292547776,48.229908288368165,5.879,4.949999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,64.5901723188006,47.63077229768391,5.912000000000001,5.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,64.55884658519457,46.83915145069443,5.926,5.359999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,64.44179994444416,46.40216041337128,5.9079999999999995,5.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,64.3071640285997,46.70095365585831,5.864,4.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,64.27136968408125,47.41629979843069,5.878,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,64.36386426467791,48.77782003610356,5.9,5.529999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,64.19951907789218,49.47519797530629,5.869000000000001,5.199999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,64.26747059521148,49.09054080733196,5.904,5.200000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,64.25165665381331,47.47513916500383,5.868,5.529999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,64.2367253407248,45.29530207245079,5.92,4.949999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,64.24182778866607,43.43796348321046,5.904,5.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,64.42602485995512,42.66195607307673,5.877,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,64.44290627997371,42.618566736301524,5.869,4.7700000000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,64.60375028473854,43.130886241522646,5.8790000000000004,4.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,64.56293580328493,43.50031069553099,5.909,4.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,64.65646359251397,44.27599106778217,5.897,4.960000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,64.70644904208177,44.708850019428354,5.874,4.880000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,64.7371425137931,44.577431289721105,5.901999999999999,4.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,64.74758433439192,45.38203039782485,5.9159999999999995,4.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,64.82940405264118,46.13801596492862,5.9350000000000005,4.840000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,64.77004557396594,46.09404439262755,5.896,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
