Date/time: 12:14:55.199 PM 14-Aug-2019
seed,688
Parent-Memory,5
SchoolSize,100
Number-of-Schools,10
Departure-Probability,1
Number-of-Ranks,6
Initial-School-GCSE-Distribution,uniform
School-Value-Added,true
School-Value-Added-Distribution,normal
Location-Rules,true
Move-Closest,false
Avoid-Schools,true
Avoided-Threshold,0.75
School-Peer-Effect,0.25
Parent-Effect,0.25
Tick,MeanGCSE,RangeGCSE,MeanAppRatio,RangeAppRatio,asp-moran-i,asp-moran-i-p,pv-moran-i,pv-moran-i-p,GA-m,GA-r,GA-p,GMx-m,GMx-r,GMx-p,GMn-m,GMn-r,GMn-p,AMx-m,AMx-r,AMx-p,AMn-m,AMn-r,AMn-p
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0,0.018,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,0,0.036000000000000004,0.049999999999999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,0,0.006,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,13.155106257705489,7.890950479176828,0.024,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,25.520624132707898,16.50253103352661,0.35,0.8400000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,38.16398319811114,24.900557012796867,1.6149999999999998,4.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,50.82385240468956,33.28181313522603,3.775,6.890000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,63.625543410564035,42.28060399166591,5.187,6.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,64.3143001766584,42.84153519573898,5.892,6.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,64.75617927006726,39.88676491903198,5.881,6.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
