Date/time: 12:31:10.147 PM 14-Aug-2019
seed,662
Parent-Memory,5
SchoolSize,100
Number-of-Schools,10
Departure-Probability,1
Number-of-Ranks,6
Initial-School-GCSE-Distribution,uniform
School-Value-Added,true
School-Value-Added-Distribution,normal
Location-Rules,true
Move-Closest,false
Avoid-Schools,true
Avoided-Threshold,0.75
School-Peer-Effect,0.25
Parent-Effect,0.25
Tick,MeanGCSE,RangeGCSE,MeanAppRatio,RangeAppRatio,asp-moran-i,asp-moran-i-p,pv-moran-i,pv-moran-i-p,GA-m,GA-r,GA-p,GMx-m,GMx-r,GMx-p,GMn-m,GMn-r,GMn-p,AMx-m,AMx-r,AMx-p,AMn-m,AMn-r,AMn-p
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0.017999999999999995,0.019999999999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0,0.012,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,0,0.006,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,0,0.006,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,14.26789481223212,7.794568967858359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,27.782288227407786,15.537040416029974,0.366,0.9700000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,41.406324712232966,23.696413358610748,1.8509999999999998,4.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,55.12804875881908,32.02234212199026,3.9760000000000004,7.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,69.04647281961047,39.59922790546552,5.4879999999999995,7.1899999999999995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,69.75553364381618,39.66701392920814,5.942000000000001,6.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,70.2208095249558,36.416102669758445,5.943,6.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,70.65560060904343,33.07738343639487,5.959000000000001,6.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,70.87084709382984,30.73540777552514,5.958,6.4399999999999995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,70.76129420865568,29.580474382206447,5.977,6.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,70.64714956015939,30.506738117017427,5.970000000000001,6.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,70.54998038917186,33.82497996642014,5.99,6.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,70.48465850623323,38.31954527497417,5.962000000000001,6.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,70.36505782895492,41.041360040032075,5.944999999999999,6.6899999999999995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,70.43810804871282,41.88909259587033,5.974,6.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,70.32742181236041,42.021867118807876,5.951999999999999,6.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,70.13925792421351,43.051575171372505,5.957,6.720000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,70.01956715068579,43.90664164773034,5.958,6.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,70.13588846151167,43.75135765338821,5.941000000000001,6.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,70.14470027516705,43.46635130432959,5.942,6.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,70.34958537335547,43.18912954304846,5.9670000000000005,6.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,70.61943676387111,43.639752481061635,5.962000000000001,6.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,70.56735984894573,44.39968967591032,5.973,6.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,70.63958074021,45.291107106838666,5.969999999999999,6.609999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,70.75753671471566,45.75661568729061,5.963,6.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,70.6247659789087,45.9379289995796,5.982,6.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,70.39727044074871,46.8467540720538,5.969,6.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,70.442396207419,47.23247101892304,5.978,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,70.3929928607976,47.436000194057534,5.981,6.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,70.28330508700505,47.76605219519544,5.981999999999998,6.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,70.30724306443805,48.20065296806404,5.962999999999999,6.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,70.46347004654449,48.078598282642375,5.968999999999999,6.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,70.49776938971982,48.16129997461396,5.954,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,70.43567109218814,47.96255230949596,5.956999999999999,6.720000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,70.44320855991693,47.885495685167264,5.968999999999999,6.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,70.6446169483779,48.11145822091993,5.986,6.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,70.66784304939351,48.64714202584727,5.973000000000001,6.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,70.72674210897792,49.129417787998065,5.973000000000001,6.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,70.78529447510516,48.93591595662585,5.976999999999999,6.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,70.7689305233093,48.691755095633084,5.974,6.359999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,70.56681123704189,48.893921056644,5.986,6.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,70.45653822312059,48.33720620904377,5.9719999999999995,6.609999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,70.43466664965322,48.34905746606594,5.971,6.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,70.20484185739092,48.508094263065104,5.968999999999999,6.890000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,70.2124943939988,49.38748278403521,5.967,6.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,70.34444580451374,49.26148708405905,5.964,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,70.66782005422833,49.52334327533298,5.965,6.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,70.79474349972823,49.54009802254579,5.975,6.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,71.10354393824448,50.037724182821165,5.971000000000001,6.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,71.21794118231738,49.84234447006787,5.982000000000001,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,71.35271694011716,48.8162189913791,5.978,6.720000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,71.1128233124987,48.66005794278646,5.968,6.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,70.93508475477363,48.90067079969947,5.984999999999999,6.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,70.80961642463241,48.963328239280486,5.974,6.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,70.7428263456742,48.96732543943994,5.988000000000001,6.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,70.61587658481052,49.81384506793589,5.973999999999999,6.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,70.81238303441141,49.91885659603336,5.9799999999999995,6.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,70.93916183978519,49.310060646061075,5.976000000000001,6.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,70.79686389152579,48.57621934665332,5.986,6.5600000000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,70.72805380133991,47.6611088069663,5.982,6.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,70.67392223732203,46.939294872119746,5.989,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,70.37913667172623,47.093000382177905,5.989000000000001,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,70.28670549305068,47.25940207251348,5.9849999999999985,6.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,70.42904300037415,47.83533108151258,5.9719999999999995,6.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,70.33471330179164,48.89653312907812,5.98,6.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,70.19573930563209,49.53268586503173,5.997999999999999,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
