Date/time: 12:29:57.917 PM 14-Aug-2019
seed,584
Parent-Memory,5
SchoolSize,100
Number-of-Schools,10
Departure-Probability,1
Number-of-Ranks,6
Initial-School-GCSE-Distribution,uniform
School-Value-Added,true
School-Value-Added-Distribution,normal
Location-Rules,true
Move-Closest,false
Avoid-Schools,true
Avoided-Threshold,0.75
School-Peer-Effect,0.25
Parent-Effect,0.25
Tick,MeanGCSE,RangeGCSE,MeanAppRatio,RangeAppRatio,asp-moran-i,asp-moran-i-p,pv-moran-i,pv-moran-i-p,GA-m,GA-r,GA-p,GMx-m,GMx-r,GMx-p,GMn-m,GMn-r,GMn-p,AMx-m,AMx-r,AMx-p,AMn-m,AMn-r,AMn-p
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0,0.006,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,0,0.018,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,0,0.012,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,12.677577417043134,3.662355073940569,0.006,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,24.507713498542834,7.76834148462471,0.31900000000000006,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,36.4460457198461,12.659667268378985,1.259,1.8599999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,48.619275922961506,17.22389095843294,3.246,4.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,60.851297367981886,21.611338121187018,4.904999999999999,4.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,61.49132465835014,21.582555358515926,5.804,5.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,61.80387057768937,21.177564598641716,5.789000000000001,5.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,62.090431103144525,17.466489611000718,5.797,5.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
