Date/time: 03:35:15.076 PM 14-Aug-2019
seed,143
Parent-Memory,5
SchoolSize,100
Number-of-Schools,10
Departure-Probability,1
Number-of-Ranks,6
Initial-School-GCSE-Distribution,uniform
School-Value-Added,true
School-Value-Added-Distribution,normal
Location-Rules,true
Move-Closest,false
Avoid-Schools,true
Avoided-Threshold,0.75
School-Peer-Effect,0.25
Parent-Effect,0.25
Tick,MeanGCSE,RangeGCSE,MeanAppRatio,RangeAppRatio,asp-moran-i,asp-moran-i-p,pv-moran-i,pv-moran-i-p,GA-m,GA-r,GA-p,GMx-m,GMx-r,GMx-p,GMn-m,GMn-r,GMn-p,AMx-m,AMx-r,AMx-p,AMn-m,AMn-r,AMn-p
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0,0.006,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,0,0.006,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,0,0.023999999999999997,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,13.11806463402498,7.292062287068971,0.006,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,25.2777400421219,14.832191724046691,0.461,0.8400000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,37.57718803314821,22.67644067454936,1.4789999999999999,3.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,49.918161217794285,30.030653711215862,3.563999999999999,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,62.33572937461444,37.20442763043529,5.214,6.3500000000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,62.716831204357234,37.34945040901515,5.803,4.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,62.809101679540944,34.24558526222079,5.872999999999999,4.380000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
