Date/time: 12:28:37.777 PM 14-Aug-2019
seed,545
Parent-Memory,5
SchoolSize,100
Number-of-Schools,10
Departure-Probability,1
Number-of-Ranks,6
Initial-School-GCSE-Distribution,uniform
School-Value-Added,true
School-Value-Added-Distribution,normal
Location-Rules,true
Move-Closest,false
Avoid-Schools,true
Avoided-Threshold,0.75
School-Peer-Effect,0.25
Parent-Effect,0.25
Tick,MeanGCSE,RangeGCSE,MeanAppRatio,RangeAppRatio,asp-moran-i,asp-moran-i-p,pv-moran-i,pv-moran-i-p,GA-m,GA-r,GA-p,GMx-m,GMx-r,GMx-p,GMn-m,GMn-r,GMn-p,AMx-m,AMx-r,AMx-p,AMn-m,AMn-r,AMn-p
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0.006,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0,0.006,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,0,0.006,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,0,0.006,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,13.268199155980884,9.33464108617525,0.012,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,25.780924152869204,18.22248153904636,0.346,0.9800000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,38.458549761501544,27.069183083788115,1.6640000000000001,4.869999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,51.198967423438624,36.25205599568913,3.753,8.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,64.0609686498492,45.32127736711182,5.192000000000001,6.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,64.57346614081932,45.069146432214964,5.828,4.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,64.90391245713043,43.4024582471991,5.776999999999999,4.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
