Date/time: 12:09:02.359 PM 14-Aug-2019
seed,195
Parent-Memory,5
SchoolSize,100
Number-of-Schools,10
Departure-Probability,1
Number-of-Ranks,6
Initial-School-GCSE-Distribution,uniform
School-Value-Added,true
School-Value-Added-Distribution,normal
Location-Rules,true
Move-Closest,false
Avoid-Schools,true
Avoided-Threshold,0.75
School-Peer-Effect,0.25
Parent-Effect,0.25
Tick,MeanGCSE,RangeGCSE,MeanAppRatio,RangeAppRatio,asp-moran-i,asp-moran-i-p,pv-moran-i,pv-moran-i-p,GA-m,GA-r,GA-p,GMx-m,GMx-r,GMx-p,GMn-m,GMn-r,GMn-p,AMx-m,AMx-r,AMx-p,AMn-m,AMn-r,AMn-p
0,1,0,0.006,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0.006,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0,0.006,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,0,0.018,0.019999999999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,0,0.006,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,13.328490502645616,7.118900384588676,0.006,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,25.99220039007314,14.726251994512282,0.31599999999999995,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,38.811738500571124,23.090128621868427,1.709,3.8300000000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,51.79189589886941,30.925679682392776,3.7299999999999995,7.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,64.96306174621347,38.77914347727018,5.3,6.760000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,65.96195261011843,39.12002722851166,5.887,5.039999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
