Date/time: 12:21:53.996 PM 14-Aug-2019
seed,286
Parent-Memory,5
SchoolSize,100
Number-of-Schools,10
Departure-Probability,1
Number-of-Ranks,6
Initial-School-GCSE-Distribution,uniform
School-Value-Added,true
School-Value-Added-Distribution,normal
Location-Rules,true
Move-Closest,false
Avoid-Schools,true
Avoided-Threshold,0.75
School-Peer-Effect,0.25
Parent-Effect,0.25
Tick,MeanGCSE,RangeGCSE,MeanAppRatio,RangeAppRatio,asp-moran-i,asp-moran-i-p,pv-moran-i,pv-moran-i-p,GA-m,GA-r,GA-p,GMx-m,GMx-r,GMx-p,GMn-m,GMn-r,GMn-p,AMx-m,AMx-r,AMx-p,AMn-m,AMn-r,AMn-p
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0.012,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0,0.030000000000000006,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,0,0.012,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,0,0.006,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,13.817510684327095,6.53922221704404,0.012,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,26.998462580477643,13.727303636867209,0.353,0.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,40.07215491352822,21.02918858268467,1.8130000000000002,3.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,53.401013686578935,28.101055007327794,4.015,6.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,66.47004830041149,34.367800283770706,5.547,7.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,66.82081887162386,34.64768748259117,5.9399999999999995,7.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,66.88807640780861,32.70031486813507,5.9639999999999995,6.8100000000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,67.08060677793955,27.739883740760455,5.9430000000000005,6.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,67.06714521027735,24.214545634769635,5.928000000000001,6.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,67.28286539644611,24.673418948066136,5.938999999999999,6.140000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,67.49698515406232,25.477186703369192,5.928,6.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,67.56224154010008,27.799206475482194,5.933,6.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,67.73506105042233,33.82391744938757,5.9449999999999985,6.0600000000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,67.85834154731114,39.241519158587586,5.944000000000001,6.220000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,67.88687278615302,40.360015729683575,5.912000000000001,6.470000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,67.90911007436667,40.78044779427792,5.944,6.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,67.98427152254602,41.14537612499285,5.926,7.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,67.85802515400947,41.87589064852375,5.936000000000001,7.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,67.77391898190236,42.64654641155014,5.946000000000001,7.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,67.84441359426862,43.648809876421176,5.95,7.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,67.66865980715575,44.66248581993763,5.937999999999999,7.1899999999999995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
