Date/time: 12:25:08.965 PM 14-Aug-2019
seed,377
Parent-Memory,5
SchoolSize,100
Number-of-Schools,10
Departure-Probability,1
Number-of-Ranks,6
Initial-School-GCSE-Distribution,uniform
School-Value-Added,true
School-Value-Added-Distribution,normal
Location-Rules,true
Move-Closest,false
Avoid-Schools,true
Avoided-Threshold,0.75
School-Peer-Effect,0.25
Parent-Effect,0.25
Tick,MeanGCSE,RangeGCSE,MeanAppRatio,RangeAppRatio,asp-moran-i,asp-moran-i-p,pv-moran-i,pv-moran-i-p,GA-m,GA-r,GA-p,GMx-m,GMx-r,GMx-p,GMn-m,GMn-r,GMn-p,AMx-m,AMx-r,AMx-p,AMn-m,AMn-r,AMn-p
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0,0.006,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,0,0.012,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,0,0.012,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,0,0.024,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,13.282397542724087,7.253773205700952,0.006,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,25.518785350825993,15.00742778319048,0.38900000000000007,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,38.03614240005187,22.699672522032053,1.484,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,50.57489343554835,30.412504974935374,3.603,7.550000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,63.21621438350229,37.66721381701153,5.146000000000001,6.869999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,63.61402465742903,38.25365913481039,5.817,5.420000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,63.990024990273675,35.673337300375,5.824,5.6000000000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
