Date/time: 12:26:39.659 PM 14-Aug-2019
seed,429
Parent-Memory,5
SchoolSize,100
Number-of-Schools,10
Departure-Probability,1
Number-of-Ranks,6
Initial-School-GCSE-Distribution,uniform
School-Value-Added,true
School-Value-Added-Distribution,normal
Location-Rules,true
Move-Closest,false
Avoid-Schools,true
Avoided-Threshold,0.75
School-Peer-Effect,0.25
Parent-Effect,0.25
Tick,MeanGCSE,RangeGCSE,MeanAppRatio,RangeAppRatio,asp-moran-i,asp-moran-i-p,pv-moran-i,pv-moran-i-p,GA-m,GA-r,GA-p,GMx-m,GMx-r,GMx-p,GMn-m,GMn-r,GMn-p,AMx-m,AMx-r,AMx-p,AMn-m,AMn-r,AMn-p
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0,0.006,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,0,0.011999999999999999,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,0,0.018,0.019999999999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,0,0.006,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,13.873079423572957,9.669528202406964,0.012,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,27.11905122271521,19.265641771770234,0.365,0.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,40.44504213165045,28.76613876718112,2.0160000000000005,4.8100000000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,54.066761120618935,38.424387688708315,4.078999999999999,7.789999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,67.67659159059035,47.87822848586961,5.521,6.359999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,68.44338935615943,47.41749472821488,5.926,5.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,68.98799455828889,46.251542883480575,5.9559999999999995,5.389999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
