Date/time: 12:27:38.456 PM 14-Aug-2019
seed,506
Parent-Memory,5
SchoolSize,100
Number-of-Schools,10
Departure-Probability,1
Number-of-Ranks,6
Initial-School-GCSE-Distribution,uniform
School-Value-Added,true
School-Value-Added-Distribution,normal
Location-Rules,true
Move-Closest,false
Avoid-Schools,true
Avoided-Threshold,0.75
School-Peer-Effect,0.25
Parent-Effect,0.25
Tick,School_id,school-type,school-x-cor,school-y-cor,all-pupils,Value-Added,GCSE-score,App-ratio,max-distance_y7,max-distance_y11,max-distance_unallocated,mean-distance_y7,mean-distance_y11,mean-distance_unallocated,mean-aspiration_y7,mean-aspiration_y11,mean-aspiration_unallocated,mean-attainment_y7,mean-attainment_y11,parents_rank1_y7,parents_rank2_y7,parents_rank3_y7,parents_rank4_y7,parents_rank5_y7,parents_rank6_y7,parents_unranked_y7,success-aspiration_y7,success-attainment_y11,parents_avoiding_y7,parents_moved_y7,mean-attainment_change_y11,count-attainment_change+_y11,count-attainment_change-_y11,parents_strategy1_y7,parents_strategy2_y7,parents_strategy3_y7,parents_strategy4_y7,parents_strategy5_y7,parents_strategy6_y7,parents_strategy7_y7,parents_strategy8_y7
0,1,state,34,-6,0,0.14,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,100,0,0,1000,0,-1,0,0,0,0,0,0,0,0,0,0
0,3,state,22,11,0,0.1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,100,0,0,1000,0,-1,0,0,0,0,0,0,0,0,0,0
0,8,state,4,-11,0,0.29,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,100,0,0,1000,0,-1,0,0,0,0,0,0,0,0,0,0
0,4,state,-1,-36,0,0.11,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,100,0,0,1000,0,-1,0,0,0,0,0,0,0,0,0,0
0,0,state,-26,-22,0,0.1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,100,0,0,1000,0,-1,0,0,0,0,0,0,0,0,0,0
0,6,state,-21,-50,0,0.01,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,100,0,0,1000,0,-1,0,0,0,0,0,0,0,0,0,0
0,7,state,11,33,0,0.08,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,100,0,0,1000,0,-1,0,0,0,0,0,0,0,0,0,0
0,5,state,27,-33,0,0.1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,100,0,0,1000,0,-1,0,0,0,0,0,0,0,0,0,0
0,2,state,16,9,0,0.06,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,100,0,0,1000,0,-1,0,0,0,0,0,0,0,0,0,0
0,9,state,-26,-32,0,0.14,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,100,0,0,1000,0,-1,0,0,0,0,0,0,0,0,0,0
1,8,state,4,-11,100,0.29,1,0,17.46,-1,-1,10.3,-1,-1,54.22,-1,-1,48.63,-1,0,0,0,0,0,0,100,100,0,1000,0,-1,0,0,0,0,0,0,0,100,0,0
1,9,state,-26,-32,100,0.14,1,0.01,53.01,-1,27.46,17.81,-1,27.46,54.43,-1,0.94,44.64,-1,0,0,0,0,0,0,100,100,0,1000,0,-1,0,0,0,0,0,0,0,100,0,0
1,6,state,-21,-50,100,0.01,1,0.01,36.12,-1,37.59,14.23,-1,37.59,56.53,-1,0.94,42.8,-1,0,0,0,0,0,0,100,100,0,1000,0,-1,0,0,0,0,0,0,0,100,0,0
1,0,state,-26,-22,100,0.1,1,0,55.97,-1,-1,15.93,-1,-1,57.29,-1,-1,45.97,-1,0,0,0,0,0,0,100,100,0,1000,0,-1,0,0,0,0,0,0,0,100,0,0
1,7,state,11,33,100,0.08,1,0.01,101.27,-1,51.92,17.92,-1,51.92,56.95,-1,0.94,44.86,-1,0,0,0,0,0,0,100,100,0,1000,0,-1,0,0,0,0,0,0,0,100,0,0
1,3,state,22,11,100,0.1,1,0.01,77.65,-1,37.54,33.94,-1,37.54,56.92,-1,0.94,45.46,-1,0,0,0,0,0,0,100,100,0,1000,0,-1,0,0,0,0,0,0,0,100,0,0
1,2,state,16,9,100,0.06,1,0.01,68.15,-1,32.2,25.47,-1,32.2,54.35,-1,0.94,42.51,-1,0,0,0,0,0,0,100,100,0,1000,0,-1,0,0,0,0,0,0,0,100,0,0
1,5,state,27,-33,100,0.1,1,0,15.56,-1,-1,10.72,-1,-1,54.62,-1,-1,43.57,-1,0,0,0,0,0,0,100,100,0,1000,0,-1,0,0,0,0,0,0,0,100,0,0
1,1,state,34,-6,100,0.14,1,0,16.16,-1,-1,10.42,-1,-1,56.47,-1,-1,46.25,-1,0,0,0,0,0,0,100,100,0,1000,0,-1,0,0,0,0,0,0,0,100,0,0
1,4,state,-1,-36,100,0.11,1,0.01,17.03,-1,-1,10,-1,-1,55.31,-1,-1,44.56,-1,1,0,0,0,0,0,99,100,0,1000,0,-1,0,0,0,0,0,0,0,100,0,0
2,4,state,-1,-36,200,0.11,1,0,19.1,-1,-1,9.78,-1,-1,46.33,-1,-1,48.46,-1,0,0,0,0,0,0,100,99,0,999,0,-1,0,0,0,0,0,0,0,99,1,0
2,0,state,-26,-22,200,0.1,1,0,55.23,-1,-1,15.96,-1,-1,48.52,-1,-1,50.43,-1,0,0,0,0,0,0,100,100,0,999,0,-1,0,0,0,0,0,0,0,100,0,0
2,5,state,27,-33,200,0.1,1,0,17.46,-1,-1,10.92,-1,-1,53,-1,-1,53.18,-1,0,0,0,0,0,0,100,100,0,999,0,-1,0,0,0,0,0,0,0,100,0,0
2,9,state,-26,-32,200,0.14,1,0,30.02,-1,-1,15.18,-1,-1,51,-1,-1,52.99,-1,0,0,0,0,0,0,100,100,0,999,0,-1,0,0,0,0,0,0,0,100,0,0
2,3,state,22,11,200,0.1,1,0,79.1,-1,-1,32.29,-1,-1,49.34,-1,-1,50.78,-1,0,0,0,0,0,0,100,100,0,999,0,-1,0,0,0,0,0,0,0,100,0,0
2,1,state,34,-6,200,0.14,1,0,17.72,-1,-1,10.42,-1,-1,52.31,-1,-1,54.4,-1,0,0,0,0,0,0,100,100,0,999,0,-1,0,0,0,0,0,0,0,100,0,0
2,2,state,16,9,200,0.06,1,0,70.18,-1,-1,21.97,-1,-1,49.68,-1,-1,49.49,-1,0,0,0,0,0,0,100,100,0,999,0,-1,0,0,0,0,0,0,0,100,0,0
2,6,state,-21,-50,200,0.01,1,0,39.56,-1,-1,15.68,-1,-1,49.45,-1,-1,48.14,-1,0,0,0,0,0,0,100,100,0,999,0,-1,0,0,0,0,0,0,0,100,0,0
2,7,state,11,33,200,0.08,1,0,28.07,-1,-1,13.35,-1,-1,50.7,-1,-1,51.16,-1,0,0,0,0,0,0,100,100,0,999,0,-1,0,0,0,0,0,0,0,100,0,0
2,8,state,4,-11,200,0.29,1,0,17.89,-1,-1,10.71,-1,-1,52.06,-1,-1,58.85,-1,0,0,0,0,0,0,100,100,0,999,0,-1,0,0,0,0,0,0,0,100,0,0
3,1,state,34,-6,300,0.14,1,0.02,19.85,-1,29.12,11.28,-1,27.31,50.83,-1,0.9,54.93,-1,0,0,0,0,0,0,100,100,0,1000,0,-1,0,0,0,16,0,0,0,84,0,0
3,8,state,4,-11,300,0.29,1,0.03,34.79,-1,47.01,12.48,-1,29.15,46.96,-1,0.83,56.62,-1,0,0,0,0,0,0,100,100,0,1000,0,-1,0,0,0,25,0,0,0,75,0,0
3,4,state,-1,-36,300,0.11,1,0.02,22.83,-1,38.64,12.24,-1,38.56,53.83,-1,0.81,55.64,-1,0,0,0,0,0,0,100,100,0,1000,0,-1,0,0,0,63,0,0,0,37,0,0
3,6,state,-21,-50,300,0.01,1,0.01,29.12,-1,26.91,10.72,-1,26.91,52.93,-1,0.67,51.91,-1,0,0,0,0,0,0,100,100,0,1000,0,-1,0,0,0,15,0,0,0,85,0,0
3,5,state,27,-33,300,0.1,1,0.02,15.81,-1,66.07,10.26,-1,56.57,51.85,-1,0.77,54.07,-1,0,0,0,0,0,0,100,100,0,1000,0,-1,0,0,0,43,0,0,0,57,0,0
3,0,state,-26,-22,300,0.1,1,0.01,60.44,-1,-1,20.11,-1,-1,51.2,-1,-1,53.79,-1,1,0,0,0,0,0,99,100,0,1000,0,-1,0,0,0,38,0,0,0,62,0,0
3,9,state,-26,-32,300,0.14,1,0.01,57.2,-1,13.15,18.29,-1,13.15,49.61,-1,0.67,53.59,-1,0,0,0,0,0,0,100,100,0,1000,0,-1,0,0,0,41,0,0,0,59,0,0
3,7,state,11,33,300,0.08,1,0.02,19,-1,31.4,10.65,-1,26.14,50.53,-1,0.9,52.39,-1,0,0,0,0,0,0,100,100,0,1000,0,-1,0,0,0,15,0,0,0,85,0,0
3,2,state,16,9,300,0.06,1,0.02,76.94,-1,12.21,32.65,-1,8.16,50.35,-1,0.9,51.43,-1,0,0,0,0,0,0,100,100,0,1000,0,-1,0,0,0,43,0,0,0,57,0,0
3,3,state,22,11,300,0.1,1,0.02,57.31,-1,-1,31.55,-1,-1,48.98,-1,-1,51.78,-1,2,0,0,0,0,0,98,100,0,1000,0,-1,0,0,0,56,0,0,0,44,0,0
4,5,state,27,-33,400,0.1,1,0.02,13.93,-1,66.37,9.59,-1,66.37,48.89,-1,0.17,52.51,-1,1,0,0,0,0,0,99,100,0,997,0,-1,0,0,0,38,0,0,0,62,0,0
4,1,state,34,-6,400,0.14,1,0.01,17.03,-1,26.17,10.31,-1,26.17,48.93,-1,0.66,54.18,-1,0,0,0,0,0,0,100,100,0,997,0,-1,0,0,0,11,0,0,0,89,0,0
4,6,state,-21,-50,400,0.01,1,0.01,40.01,-1,20.59,11.99,-1,20.59,51.41,-1,0.17,51.44,-1,0,0,0,0,0,0,100,100,0,997,0,-1,0,0,0,30,0,0,0,70,0,0
4,0,state,-26,-22,400,0.1,1,0.01,57.8,-1,22.2,19.12,-1,22.2,53.91,-1,0.17,56.75,-1,0,0,0,0,0,0,100,99,0,997,0,-1,0,0,0,40,0,0,0,59,1,0
4,4,state,-1,-36,400,0.11,1,0.02,29.68,-1,38.21,12.57,-1,35.23,52.69,-1,0.42,55.79,-1,0,0,0,0,0,0,100,100,0,997,0,-1,0,0,0,65,0,0,0,35,0,0
4,3,state,22,11,400,0.1,1,0.01,57.43,-1,43.93,26.71,-1,43.93,50.35,-1,0.66,53.49,-1,0,0,0,0,0,0,100,98,0,997,0,-1,0,0,0,40,0,0,0,58,2,0
4,8,state,4,-11,400,0.29,1,0.02,18.68,-1,51.87,10.38,-1,43.04,52.79,-1,0.42,62.85,-1,0,0,0,0,0,0,100,100,0,997,0,-1,0,0,0,25,0,0,0,75,0,0
4,7,state,11,33,400,0.08,1,0,27.17,-1,-1,13.05,-1,-1,49.26,-1,-1,52.03,-1,0,0,0,0,0,0,100,100,0,997,0,-1,0,0,0,41,0,0,0,59,0,0
4,9,state,-26,-32,400,0.14,1,0.01,58.25,-1,-1,18.16,-1,-1,49.71,-1,-1,54.49,-1,1,0,0,0,0,0,99,100,0,997,0,-1,0,0,0,47,0,0,0,53,0,0
4,2,state,16,9,400,0.06,1,0.01,78.45,-1,43.66,27.13,-1,43.66,50.7,-1,0.66,52.39,-1,0,0,0,0,0,0,100,100,0,997,0,-1,0,0,0,32,0,0,0,68,0,0
5,4,state,-1,-36,500,0.11,1,0.01,21,17.03,-1,10.99,10,-1,46.54,55.31,-1,51.47,59.48,1,0,0,0,0,0,99,100,79,998,0,4.17,79,21,0,57,0,0,0,43,0,0
5,7,state,11,33,500,0.08,1,0,23.32,101.27,-1,12.28,17.92,-1,48.07,56.95,-1,51.4,58.01,0,0,0,0,0,0,100,100,60,998,0,1.06,60,40,0,34,0,0,0,66,0,0
5,2,state,16,9,500,0.06,1,0,77.93,68.15,-1,27.98,25.47,-1,49.7,54.35,-1,52.04,55.08,0,0,0,0,0,0,100,100,60,998,0,0.73,60,40,0,32,0,0,0,68,0,0
5,9,state,-26,-32,500,0.14,1,0.01,60.22,53.01,31.78,23.92,17.81,31.78,46.18,54.43,1.23,52.14,61.37,0,0,0,0,0,0,100,99,84,998,0,6.94,84,16,0,56,0,0,0,43,1,0
5,3,state,22,11,500,0.1,1,0,57.22,77.65,-1,24.09,33.94,-1,48.63,56.92,-1,52.56,59.49,0,0,0,0,0,0,100,100,68,998,0,2.57,68,32,0,37,0,0,0,63,0,0
5,0,state,-26,-22,500,0.1,1,0.01,62.68,55.97,35.36,14.73,15.93,35.36,48.22,57.29,1.23,52.81,60.69,0,0,0,0,0,0,100,100,61,998,0,3.39,61,39,0,36,0,0,0,64,0,0
5,1,state,34,-6,500,0.14,1,0,17,16.16,-1,10.78,10.42,-1,50.98,56.47,-1,56.29,63.16,0,0,0,0,0,0,100,100,86,998,0,6.69,86,14,0,16,0,0,0,84,0,0
5,8,state,4,-11,500,0.29,1,0.01,17,17.46,28.02,10.82,10.3,28.02,46.24,54.22,1.23,58.29,76.39,0,0,0,0,0,0,100,100,100,998,0,22.18,100,0,0,30,0,0,0,70,0,0
5,6,state,-21,-50,500,0.01,1,0.01,29.43,36.12,28.23,11.41,14.23,28.23,47.56,56.53,1.23,48.82,53.2,0,0,0,0,0,0,100,100,34,998,0,-3.33,34,66,0,27,0,0,0,73,0,0
5,5,state,27,-33,500,0.1,1,0.01,19.03,15.56,22.8,10.9,10.72,22.8,46.6,54.62,1.23,51.03,58.25,0,0,0,0,0,0,100,99,71,998,1,3.63,71,29,0,58,0,0,0,41,1,0
6,7,state,11,33,500,0.08,12.03,0,20.22,28.07,-1,10.42,13.35,-1,50.61,50.7,-1,53.56,56.16,0,0,0,0,0,0,100,99,75,999,0,5.46,75,25,0,27,0,0,0,73,0,0
