Date/time: 12:27:38.459 PM 14-Aug-2019
seed,506
Parent-Memory,5
SchoolSize,100
Number-of-Schools,10
Departure-Probability,1
Number-of-Ranks,6
Initial-School-GCSE-Distribution,uniform
School-Value-Added,true
School-Value-Added-Distribution,normal
Location-Rules,true
Move-Closest,false
Avoid-Schools,true
Avoided-Threshold,0.75
School-Peer-Effect,0.25
Parent-Effect,0.25
Tick,MeanGCSE,RangeGCSE,MeanAppRatio,RangeAppRatio,asp-moran-i,asp-moran-i-p,pv-moran-i,pv-moran-i-p,GA-m,GA-r,GA-p,GMx-m,GMx-r,GMx-p,GMn-m,GMn-r,GMn-p,AMx-m,AMx-r,AMx-p,AMn-m,AMn-r,AMn-p
43,61.42527271047894,41.82237595886342,5.798,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,61.24070538986882,41.171226442598254,5.776999999999999,6.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,61.01668311164258,40.72227696255111,5.771,7.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,60.815740722463225,41.06936978341293,5.784000000000001,7.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,60.72760925684851,40.764289677928836,5.767,7.609999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,60.525649461202576,40.913596576044114,5.737,7.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,60.460191401115935,42.383839952613606,5.7219999999999995,7.720000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,60.41301142667271,42.22104649834327,5.767,7.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,60.52760446854266,42.24142744029579,5.661,7.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,60.65771154316194,43.23402699071288,5.6450000000000005,7.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,60.93706915389348,43.68698726938386,5.704000000000001,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,61.159301213942214,42.63093269795987,5.724,7.720000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,61.31403574424236,41.9906148712583,5.739000000000001,7.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,61.44533356772998,40.52224142736426,5.813999999999999,7.529999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,61.518869673833194,39.11873689303636,5.761,7.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,61.38629996142707,38.05999840418089,5.763,7.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,61.29116337625165,37.74724554113059,5.751,6.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,61.250583060557325,39.13765295381891,5.74,7.4399999999999995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,61.01298194312882,40.38618423362939,5.747,7.779999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,60.85031584311687,41.387825065702074,5.8020000000000005,7.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,60.70279275132032,42.832762495619626,5.757999999999999,7.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,60.503154104106855,44.36949743285079,5.7379999999999995,7.1899999999999995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,60.5481705212952,44.55082419015624,5.6579999999999995,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,60.64763549115768,44.237147203160916,5.678,7.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,60.72051482403888,43.75407212114313,5.687,6.970000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,60.89093265843702,42.50747076607057,5.737,7.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
